Bachelor of Business Administration in Financial Investment Analysis (BBA-FIA),https://dudesk.in/courses/details/Commerce%20&%20Management/Bachelor%20of%20Business%20Administration%20(Financial%20Investment%20Analysis)%20BBA%20(FIA)
B.A. (Hons.) Business Economics (BBE),https://dudesk.in/courses/details/Commerce%20&%20Management/B.A.%20(Hons.)%20Business%20Economics
Bachelor of Management Studies (BMS),https://dudesk.in/courses/details/Commerce%20&%20Management/Bachelor%20of%20Management%20Studies%20(BMS)
Vocational Studies Courses at DU,
B.Voc. Banking Operations,https://dudesk.in/courses/details/Vocational%20Studies/B.Voc.%20Banking%20Operations
B.Voc. Healthcare Management,https://dudesk.in/courses/details/Vocational%20Studies/B.Voc.%20Health%20Care%20Management
B.Voc. Retail Management and IT,https://dudesk.in/courses/details/Vocational%20Studies/B.Voc.%20Retail%20Management%20and%20IT
B.Voc. Software Development,https://dudesk.in/courses/details/Vocational%20Studies/B.Voc.%20Software%20Development
B.A. Vocational Studies,https://dudesk.in/courses/details/Vocational%20Studies/B.A.%20(Vocational%20Studies)
Music Courses at DU,
B.A. (Hons.) in Music: Vocal/ Instrumental Sitar/ Sarod/ Guitar/ Violin/ Santoor,https://dudesk.in/courses/details/Music/B.A.%20(Hons.)%20-%20Hindustani%20Music:%20Vocal%20_%20Instrumental%20(Sitar%20_%20Sarod%20_%20Guitar%20_%20Violin%20_%20Santoor)
B.A. (Hons.) in Hindustani Music: Percussion (Tabla/Pakhawaj),https://dudesk.in/courses/details/Music/B.A.%20(Hons.)%20-%20Hindustani%20Music:%20Percussion%20(Tabla_Pakhawaj)
B.A. (Hons.) in Karnatak Music: Vocal/ Instrumental (Veena/ Violin),https://dudesk.in/courses/details/Music/B.A.%20(Hons.)%20-%20Karnataka%20Music:%20Vocal_Instrumental%20(Veena_Violin)
Bachelor of Elementary Education,https://dudesk.in/courses/details/Elementary%20Education/Bachelor%20of%20Elementary%20Education%20B.%20El.%20Ed
Bachelor of Fine Arts,https://dudesk.in/courses/details/Fine%20Arts/Bachelor%20of%20Fine%20Arts%20(B.F.A.)
